MethodID,Size,RMSE,PSNR
3,27,0.12373217727296458,66.28115050617428
3,28,0.1281940553236089,65.97344588193627
3,29,0.13256333858567068,65.68233494501055
3,30,0.11989069729080318,66.55509388698732
3,31,0.12373217727296458,66.28115050617428
3,32,0.1337664879829461,65.6038571108983
3,33,0.12717828590702895,66.0425442622684
3,34,0.1410583600411546,65.14282700095708
3,35,0.12799552019545124,65.98690821391581
3,36,0.12771705253337357,66.00582586282832
3,37,0.1425825841197684,65.04947397951167
3,38,0.14460161575392522,64.92734069430922
3,39,0.13115540986348345,65.77507942949549
3,40,0.15456447654249073,64.34860986028023
3,41,0.15044557302462686,64.58321535230341
3,42,0.14883102988197444,64.6769338686759
3,43,0.14356022346185127,64.9901210952303
3,44,0.14104032995735358,65.14393730259141
3,45,0.13860308593132947,65.29534561383747
3,46,0.17483832747772535,63.278070742085326
3,47,0.15314293581181765,64.42886423991864
3,48,0.15469604879576218,64.34121918447997
3,49,0.15385534796996278,64.38855167260562
3,50,0.16069523128198557,64.01074382806667
3,51,0.18281639507958752,62.89050079020757
3,52,0.16255194982905977,63.91095994318076
3,53,0.17748021548336265,63.147804662017
3,54,0.17890738718706997,63.078238144637865
3,55,0.1713711839321059,63.4520476666657
3,56,0.16350351200356522,63.860261896595475
3,57,0.17095516171706643,63.47315924555343
3,58,0.19237372414023526,62.447888558198265
3,59,0.17820950115547526,63.112186518208915
3,60,0.1785231752141488,63.096911556655854
3,61,0.18544062198950415,62.76670610275154
3,62,0.17365613565469212,63.33700095866308
3,63,0.1751580387583358,63.26220213349554
3,64,0.19197672215390682,62.46583216512754
3,65,0.18993910499623515,62.55851586362741
3,66,0.17191938347394833,63.42430670772498
3,67,0.18561881828932378,62.758363539026604
3,68,0.1783378890456844,63.105931175306026
3,69,0.1866299256996762,62.71117794542175
3,70,0.19233406081742474,62.449679586398375
3,71,0.20085875206535064,62.07298840678007
3,72,0.19087404752409157,62.5158659505265
3,73,0.1920694293480984,62.46163868749526
3,74,0.20896307815940635,61.72941246714337
3,75,0.20505642246276795,61.893336085835
3,76,0.20880480505626142,61.73599383841481
3,77,0.19597543741579582,62.286770759432464
3,78,0.20579920353217881,61.86192981552974
3,79,0.21869186355439893,61.33415110102743
3,80,0.20183131702947926,62.031032525482175
3,81,0.20625591847568883,61.84267522065638
3,82,0.20644078533943455,61.83489355790605
3,83,0.21682326697465495,61.40868593174669
3,84,0.2289742326523882,60.93507136332405
3,85,0.22457823606614988,61.103450281154885
3,86,0.19456889695956675,62.349335272194004
3,87,0.22685415853537194,61.01586871138723
3,88,0.22970610043733058,60.90735302553706
3,89,0.2216373800946229,61.217943451469445
3,90,0.22310125486396307,61.16076334787352
3,91,0.2278608630648683,60.977408848341845
3,92,0.21909849472468998,61.31801573204341
3,93,0.2182844748926654,61.35034664146965
3,94,0.22834027727617942,60.95915312692846
3,95,0.23737232725149673,60.622201854006065
3,96,0.22839595780500727,60.9570353403653
3,97,0.20949788449235193,61.70721077222105
3,98,0.22713424625166612,61.00515120725841
3,99,0.23836661722172667,60.585894943989004
3,100,0.23320018057186406,60.77622596126772
2,1,0.026397311110303766,79.69960979054865
2,2,0.03260412506653363,77.86535260100217
2,3,0.04915256793796061,74.29987936586406
2,4,0.05855033113520082,72.78021649675952
2,5,0.056561996429618414,73.08030900766002
2,6,0.060093649787574616,72.55423197492196
2,7,0.057542655713500916,72.9310055764308
2,8,0.05859375,72.77377773380248
2,9,0.07230960092143136,70.94688431552015
2,10,0.07644681949523799,70.46361517522988
2,11,0.07523968861038369,70.60186381876564
2,12,0.09147077494626814,68.90515643925279
2,13,0.09461407356554662,68.61168878397122
2,14,0.08856081288089558,69.18597172496334
2,15,0.10573365651386349,67.646538581238
2,16,0.0963453684046142,68.45418677418779
2,17,0.09802015530672335,68.30449588289439
2,18,0.10075803188621409,68.0652100925992
2,19,0.09827926269850878,68.28156581474255
2,20,0.10065702130254005,68.07392212123591
2,21,0.09421002585369652,68.64886114916074
2,22,0.11439822880011809,66.96241760000925
2,23,0.09155414495441118,68.89724338850175
2,24,0.11352792825904852,67.02874935663849
2,25,0.11530607762151279,66.89375962966747
2,26,0.12773696321282002,66.00447186599146
2,27,0.13179373359968916,65.73290838193721
2,28,0.12939852342505045,65.89221719671039
2,29,0.14168796753157684,65.10414419815757
2,30,0.13435455876499874,65.5657554686368
2,31,0.12573028858930532,66.14200536082396
2,32,0.1345437107082521,65.55353558207426
2,33,0.1252235955929599,66.17708021484763
2,34,0.12457202124298418,66.22239338568865
2,35,0.14384337999626537,64.97300601960565
2,36,0.12793589957881904,65.99095506448262
2,37,0.13196728603458258,65.72147790206157
2,38,0.14359564856379992,64.98797801854282
2,39,0.1314072408801325,65.75841767594751
2,40,0.1354104065059409,65.49776277155824
2,41,0.1344869930591183,65.55719793913096
2,42,0.15678618937804278,64.22464751072391
2,43,0.1424576760063318,65.05708650524524
2,44,0.16641725315734995,63.70683662119478
2,45,0.14847176139687865,64.69792639227472
2,46,0.17181580420006964,63.429541424455735
2,47,0.16483572749040684,63.78977662525918
2,48,0.16298942222675833,63.88761520374278
2,49,0.18281639507958752,62.89050079020757
2,50,0.17569442300038296,63.23564408720805
2,51,0.17727949460027564,63.157633509966935
2,52,0.1783378890456844,63.105931175306026
2,53,0.17178619865075018,63.431038217446265
2,54,0.16922074579463262,63.561731513599256
2,55,0.18800117481486875,62.647592345318216
2,56,0.16085341148691615,64.00219808579918
2,57,0.1617835266805874,63.952117643369434
2,58,0.1761570057934233,63.21280521218885
2,59,0.18806879870641754,62.644468598640316
2,60,0.17596922819298075,63.22206902448755
2,61,0.17732252534517903,63.155525454839854
2,62,0.18216141179711104,62.92167593843033
2,63,0.18967113208486464,62.57077888128825
2,64,0.19748788530882092,62.21999442005247
2,65,0.18809584145567032,62.643219728805974
2,66,0.17028442524720466,63.507305052071395
2,67,0.18937592391826327,62.5843083153423
2,68,0.19581965405459817,62.293678028990335
2,69,0.18574208481201157,62.7525972914625
2,70,0.18601571796686742,62.73981075250704
2,71,0.21516311490500642,61.475447150408975
2,72,0.2002627871554544,62.098798485463504
2,73,0.19979237269600658,62.1192255183938
2,74,0.19805368064407858,62.195145253164974
2,75,0.19771954273193382,62.20981166082942
2,76,0.20317507395614093,61.973395078499635
2,77,0.204149061209471,61.93185586594148
2,78,0.2117437331508204,61.614592295759316
2,79,0.20677312918540697,61.82092160541853
2,80,0.2057126839388698,61.865582199205484
2,81,0.20408676556211128,61.934506750977114
2,82,0.2043482796625449,61.92338389091831
2,83,0.21163561175156306,61.61902865087765
2,84,0.21156350012072814,61.62198874061104
2,85,0.20673622847498815,61.82247182668041
2,86,0.2219469696949495,61.20581921156142
2,87,0.22140777537112752,61.226946242460826
2,88,0.21742062578243354,61.384788780684225
2,89,0.2320084514613189,60.820727500847134
2,90,0.2111182674511197,61.640287345180596
2,91,0.20909690798068567,61.723851393918665
2,92,0.21761938100035844,61.376852195629596
2,93,0.2125229766989913,61.5826858043267
2,94,0.23771491783533136,60.60967487270404
2,95,0.23077751210017375,60.86693386619987
2,96,0.22270193244816228,61.17632389773051
2,97,0.23309110147867435,60.780289725781536
2,98,0.23691119102924588,60.63909208713598
2,99,0.21806300232219777,61.359163864305046
2,100,0.2313498341651214,60.8454197581288
7,1,0.04261215669779576,75.54013330099079
7,2,0.03746743377588062,76.65772464146055
7,3,0.04090697414688804,75.89485648261298
7,4,0.054407766707750466,73.41758561561383
7,5,0.06143294850044505,72.36277640932245
7,6,0.0598816785810777,72.58492429219874
7,7,0.07363393497707652,70.78924341520718
7,8,0.0750366121574162,70.62533925332549
7,9,0.07024012478781863,71.19909811945027
7,10,0.08153370939819411,69.90405958630728
7,11,0.08153370939819411,69.90405958630728
7,12,0.08153370939819411,69.90405958630728
7,13,0.09287788802149484,68.77255698290577
7,14,0.09429097390745662,68.64140117912888
7,15,0.09001342673283526,69.0446577041014
7,16,0.10208698707321859,67.95139587810077
7,17,0.09726484060928697,68.37168601993356
7,18,0.09874394265441046,68.2405943333321
7,19,0.11662189896288061,66.79520143285306
7,20,0.11662189896288061,66.79520143285306
7,21,0.11785832304040235,66.70359846071538
7,22,0.11590004589309201,66.84913145004347
7,23,0.11433151780476662,66.96748422879978
7,24,0.11314647154656436,67.0579833066291
7,25,0.12643624747072799,66.09337165193692
7,26,0.12947711348600055,65.88694343186194
7,27,0.12821389192803304,65.97210194108723
7,28,0.13372845912987258,65.60632679809538
7,29,0.13321400707015574,65.6398057676316
7,30,0.1326017015841834,65.67982166668865
7,31,0.1410763878206443,65.14171698310592
7,32,0.13845622169307104,65.30455408761667
7,33,0.13832758757520136,65.31262754996912
7,34,0.14398474944561548,64.96447370876882
7,35,0.14104032995735358,65.14393730259141
7,36,0.14190318988479142,65.09096044459068
7,37,0.16044181857744413,64.02445208902483
7,38,0.16061608276155495,64.01502301337595
7,39,0.1574013569651773,64.19063416639501
7,40,0.1410042628732816,65.14615875779025
7,41,0.14402007012551526,64.9623432476915
7,42,0.1443551855540845,64.9421558225813
7,43,0.1536072073623039,64.40257173692513
7,44,0.1533918274693114,64.41475917776671
7,45,0.15549949968100113,64.2962236881911
7,46,0.16009272113990433,64.04337187855504
7,47,0.15983835319986825,64.05718368051723
7,48,0.15988607801402951,64.05459061954714
7,49,0.16031496201000964,64.03132247973042
7,50,0.16258323689504656,63.90928829388413
7,51,0.16258323689504656,63.90928829388413
7,52,0.17534668505830814,63.25285241014481
7,53,0.1736707796767829,63.336268528470086
7,54,0.17196375549261828,63.42206518776863
7,55,0.17312812591191193,63.36345105116123
7,56,0.17488195888733302,63.27590342365773
7,57,0.17457631002181634,63.291097415198614
7,58,0.1807740023035784,62.9880841420794
7,59,0.18120958601161252,62.96718024497258
7,60,0.18120958601161252,62.96718024497258
7,61,0.18574208481201157,62.7525972914625
7,62,0.18517987278983192,62.77892798026319
7,63,0.18590631303579366,62.744920851427594
7,64,0.1904605677419432,62.534702117079554
7,65,0.18831204364365547,62.63324167773316
7,66,0.19132651400403838,62.495300435237795
7,67,0.19076742886054343,62.520719081154766
7,68,0.19218855860142056,62.456253016343986
7,69,0.19225470962344676,62.453263860180115
7,70,0.1926907368092284,62.43358686090816
7,71,0.1926907368092284,62.43358686090816
7,72,0.1907807594520038,62.52011214315936
7,73,0.20624358812634433,61.84319449426482
7,74,0.20908474517300993,61.724356651882005
7,75,0.20807275370248104,61.76649931260299
7,76,0.20974052747904373,61.697156491034015
7,77,0.21033381980843768,61.67262142881954
7,78,0.2110218774141578,61.64425395791807
7,79,0.22141926126200606,61.22649565940091
7,80,0.22141926126200606,61.22649565940091
7,81,0.22101689992415363,61.24229394826283
7,82,0.21587112311950155,61.44691258771207
7,83,0.21349005346780794,61.543250688874814
7,84,0.2134066519313343,61.54664456163846
7,85,0.21996731602032948,61.28364049464521
7,86,0.2196549362423367,61.29598425895419
7,87,0.21779460262433425,61.369861350927984
7,88,0.22525665338860323,61.07725105740785
7,89,0.2254936172472978,61.06811854103004
7,90,0.22603431607672061,61.04731605127004
7,91,0.23165742192473027,60.833879231746664
7,92,0.23235895069083487,60.80761547709255
7,93,0.2335924435582196,60.76162781367729
7,94,0.23452686052410215,60.72695180971667
7,95,0.23429903282739808,60.735393691506474
7,96,0.23442924719433827,60.73056774992012
7,97,0.23990863332475137,60.52988607426319
7,98,0.23977078830516274,60.534878186104024
7,99,0.23922924468052953,60.554518227181084
7,100,0.22950673158700596,60.91489504448438
8,1,0.04261215669779576,75.54013330099079
8,2,0.03746743377588062,76.65772464146055
8,3,0.04090697414688804,75.89485648261298
8,4,0.06229621725992545,72.24157008256391
8,5,0.06358914295351448,72.06314417554802
8,6,0.06051536478449089,72.49349049780004
8,7,0.05298695299316616,73.64742468482073
8,8,0.05824549282902355,72.82555712294723
8,9,0.06394806853025352,72.0142549746282
8,10,0.0844147765038059,69.60243410925497
8,11,0.0844147765038059,69.60243410925497
8,12,0.08147130318208676,69.91071034536972
8,13,0.07634695424098463,70.474969285799
8,14,0.07404722504225485,70.74062785360552
8,15,0.07185093573604893,71.0021550396204
8,16,0.09174838036433758,68.87883548099535
8,17,0.08901908664133965,69.14114092874726
8,18,0.08956024108863356,69.08849852882369
8,19,0.11368462664730662,67.01676881160903
8,20,0.11368462664730662,67.01676881160903
8,21,0.11473120193703483,66.93717274214609
8,22,0.10865181301457498,67.41006405755354
